time,p,T,Tve,rho
0.001068,40763.7,298.15,348.432,0.460649
0.00107,40753.1,298.15,348.432,0.460529
0.001072,40742.4,298.15,348.432,0.460409
0.001074,40731.8,298.15,348.432,0.460288
0.001076,40721.2,298.15,348.432,0.460169
0.001078,40710.6,298.15,348.432,0.460049
0.00108,40700,298.15,348.432,0.459929
0.001082,40689.5,298.15,348.432,0.45981
0.001084,40678.9,298.15,348.432,0.459691
0.001086,40668.4,298.15,348.432,0.459572
0.001088,40657.9,298.15,348.432,0.459453
0.00109,40647.4,298.15,348.432,0.459335
0.001092,40636.9,298.15,348.432,0.459216
0.001094,40626.5,298.15,348.432,0.459098
0.001096,40616,298.15,348.432,0.45898
0.001098,40605.6,298.15,348.432,0.458862
0.0011,40595.2,298.15,348.432,0.458745
0.001102,40584.8,298.15,348.432,0.458627
0.001104,40574.4,298.15,348.432,0.45851
0.001106,40564,298.15,348.432,0.458393
0.001108,40553.7,298.15,348.432,0.458276
0.00111,40543.4,298.15,348.432,0.458159
0.001112,40533.1,298.15,348.432,0.458042
0.001114,40522.7,298.15,348.432,0.457926
0.001116,40512.5,298.15,348.432,0.45781
0.001118,40502.2,298.15,348.432,0.457694
0.00112,40491.9,298.15,348.432,0.457578
0.001122,40481.7,298.15,348.432,0.457462
0.001124,40471.5,298.15,348.432,0.457347
0.001126,40461.3,298.15,348.432,0.457231
0.001128,40451.1,298.15,348.432,0.457116
0.00113,40440.9,298.15,348.432,0.457001
0.001132,40430.8,298.15,348.432,0.456887
0.001134,40420.6,298.15,348.432,0.456772
0.001136,40410.5,298.15,348.432,0.456658
0.001138,40400.4,298.15,348.432,0.456543
0.00114,40390.3,298.15,348.432,0.456429
0.001142,40380.2,298.15,348.432,0.456316
0.001144,40370.2,298.15,348.432,0.456202
0.001146,40360.1,298.15,348.432,0.456088
0.001148,40350.1,298.15,348.432,0.455975
0.00115,40340.1,298.15,348.432,0.455862
0.001152,40330.1,298.15,348.432,0.455749
0.001154,40320.2,298.15,348.432,0.455637
0.001156,40310.2,298.15,348.432,0.455524
0.001158,40300.3,298.15,348.432,0.455412
0.00116,40290.4,298.15,348.432,0.4553
0.001162,40280.5,298.15,348.432,0.455188
0.001164,40270.6,298.15,348.432,0.455077
0.001166,40260.8,298.15,348.432,0.454965
0.001168,40250.9,298.15,348.432,0.454854
0.00117,40241.1,298.15,348.432,0.454743
0.001172,40231.3,298.15,348.432,0.454632
0.001174,40221.5,298.15,348.432,0.454522
0.001176,40211.8,298.15,348.432,0.454412
0.001178,40202,298.15,348.432,0.454302
0.00118,40192.3,298.15,348.432,0.454192
0.001182,40182.6,298.15,348.432,0.454082
0.001184,40172.9,298.15,348.432,0.453973
0.001186,40163.3,298.15,348.432,0.453864
0.001188,40153.6,298.15,348.432,0.453755
0.00119,40144,298.15,348.432,0.453646
0.001192,40134.4,298.15,348.432,0.453538
0.001194,40124.8,298.15,348.432,0.453429
0.001196,40115.3,298.15,348.432,0.453322
0.001198,40105.8,298.15,348.432,0.453214
0.0012,40096.3,298.15,348.432,0.453106
0.001202,40086.8,298.15,348.432,0.452999
0.001204,40077.3,298.15,348.432,0.452892
0.001206,40067.9,298.15,348.432,0.452786
0.001208,40058.5,298.15,348.432,0.452679
0.00121,40049.1,298.15,348.432,0.452573
0.001212,40039.7,298.15,348.432,0.452467
0.001214,40030.4,298.15,348.432,0.452362
